sl_no,paper_id,title,Author(s),venue,year,abstract,keywords,source,url,retrieved_at,seed_query,region,notes
11,271941876,The digital Balint: using AI in reflective practice,"Marcus Lewis, B. Hayhoe",Education for Primary Care,2024,"Reflective practice is fundamental to postgraduate general practitioner (GP) training and ongoing professional development. However, real-world challenges like time constraints and professional isolation often limit meaningful engagement with this critical skill. This article proposes that large language models (LLMs), sophisticated artificial intelligence systems, may have potential for enhancing reflective practice. We present three case studies, in which we explore the ability of LLMs to generate thought-provoking questions, which could prompt GPs to consider new angles, address underlying factors, and bridge the gap between theory and practice. Our findings suggest that LLMs could help reframe experiences and foster deeper self reflection, particularly for isolated practitioners. While ethical concerns regarding privacy, over reliance, and potential biases exist, we consider the possibility of responsibly integrating LLMs into reflective practice. For trainees, AI-generated questions might complement personal reflection under guidance. For GPs working in isolation, LLMs present an opportunity to enhance reflective practice, challenging us to consider a place for this technological innovation without diminishing the human aspects essential to medical practice.","Artificial intelligence, Natural language processing, Cognitive reflection, Education, Medical-General practice",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/14739879.2024.2372606 ,10/26/2025,Reflective Practice,United Kingdom,
12,258774451,AI-facilitated reflective practice in physical education: an auto-assessment and feedback approach,"Lu-Ho Hsia, Gwo-jen Hwang, Jan-Pan Hwang",Interactive Learning Environments,2023,"To improve students’ sports skills performance, it is important to engage them in reflective practice. However, in physical classes, a teacher generally needs to face a number of students, and hence it is almost impossible to provide detailed guidance or feedback to individual students. Scholars have been trying to use Artificial Intelligence (AI) technologies to provide personalized support to individual students in diverse courses; however, in terms of promoting physical skills, there is a lack of sufficient research or practices. The present study aimed to develop a yoga automatic assessment and feedback system using AI technology to provide personalized feedback to engage individual students in reflective practice. To examine the learning effectiveness of the developed system, a total of 96 students were assigned to be the experimental group and adopted the yoga automatic assessment and feedback system for learning, while a total of 91 students were in the control group and adopted the general online learning system. The results showed that adopting the yoga automatic assessment and feedback system for learning could significantly increase students’ yoga skills performance. In addition, it had positive effects on students’ skills learning, which was conducive to “promoting reflection,” “enhancing learning motivation,” and “obtaining feedback.”","Physical education, Artificial intelligence, Reflective practice, Deep learning, Personalized learning",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/10494820.2023.2212712 ,10/26/2025,Reflective Practice,Taiwan,
13,251495520,Examining the Impact of Dialogic Learning on Critically Reflective Practice,"V. Boyd, Nikki N Woods, Stella L. Ng",Academic medicine : journal of the Association of American Medical Colleges,2022,"Purpose While research is beginning to reveal the potential of dialogue in sparking critical reflection (critically reflective ways of seeing), additional research is needed to guide the teaching of critical reflection toward enabling critically reflective practice (critically reflective ways of seeing and doing). An experimental study was conducted to investigate the impact of dialogic learning on critically reflective practice, compared to discussion-based learning. The dialogic intervention integrated the theory of Mikhail Bakhtin with the theory of critical reflection and critical disability studies. Method In interprofessional groups of 4, medical, occupational therapy, and speech-language pathology students were randomly assigned to a learning condition that used a reflective discussion or critically reflective dialogue about a pediatric patient case. All participants were then randomly assigned a clinical report for a novel pediatric patient and asked to write a hypothetical clinical letter to the child’s school. Hierarchical logistic regression models were constructed to estimate the probabilities of sentences and letters being critically reflective. Results The probability of sentences being critically reflective was significantly higher for the dialogue condition (0.26, 95% CI [0.2, 0.33]), compared to the discussion condition (0.11, 95% CI [0.07, 0.15]). Likewise, the probability of letters being critically reflective was significantly higher for the dialogue condition (0.26, 95% CI [0.15, 0.4]), compared to the discussion condition (0.04, 95% CI [0.01, 0.16]). In both conditions, the probability of a letter being critically reflective was positively associated with the proportion of critically reflective sentences. Conclusions The results demonstrate dialogic learning prepared students to enact critically reflective practice when writing mock clinical letters. Students who participated in a dialogue engaged in a collaborative process of critical reflection and subsequently applied that way of seeing in the individual act of writing a letter. This study highlights how Bakhtin’s theory of dialogue can advance critical pedagogy.",Reflective Practice,Semantic Scholar,https://journals.lww.com/academicmedicine/fulltext/2022/11001/examining_the_impact_of_dialogic_learning_on.14.aspx ,10/26/2025,Reflective Practice,Canada,
14,255022883,‘It really has made me think’: Exploring how informal STEM learning practitioners developed critical reflective practice for social justice using the Equity Compass tool,"L. Archer, Spela Godec, Angela Calabrese Barton"," Pedagogy, Culture & Society",2022,"Critical reflective practice is a foundation of socially just pedagogy. This paper focuses on the informal STEM (science, technology, engineering, and maths) learning sector, where there is an acute shortage of support for critical reflective practice despite long-standing, entrenched issues of inequity. We analyse how practitioners used a new reflective tool, the Equity Compass, co-developed by researchers and practitioners through a five-year partnership. We report on multimodal qualitative data (interviews, ethnographic observations, group discussions, partner site visits, and workshops) from 12 practitioners in four settings in the UK: a community zoo, regional science centre, digital arts centre and an initiative supporting girls and non-binary young people into STEM. We discuss how using the Equity Compass: (i) increased and deepened practitioners’ knowledge and understanding of equity issues; (ii) supported personal and institutional critical reflection, helping practitioners move beyond ‘gut instinct’ to interrogate their own positionality, ask new questions, and critically evaluate the effectiveness of attempts at inclusive practice; and (iii) fostered more intentional equitable planning and practice, such as participatory approaches that shared authority with learners and introduced more inclusive forms of representation. We conclude by discussing the challenges, limitations, and implications for supporting critical reflective practice among educators.","Citical reflective practice, Equity,  Intersectionality, Informal STEM learning",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/14681366.2022.2159504#abstract ,10/26/2025,Reflective Practice,United Kingdom,
15,253418445,"Combining adaptive expertise and (critically) reflective practice to support the development of knowledge, skill, and society","Stella L. Ng, J. Forsey,  Naomi Steenhof",Advances in Health Sciences Education,2022,"Adaptive expertise (AE) and reflective practice (RP), two influential and resonant theories of professional expertise and practice in their own right, may further benefit health professions education if carefully combined. The current societal and systemic context is primed for both AE and RP. Both bodies of work position practitioners as agentive, learning continually and thoughtfully throughout their careers, particularly in order to manage unprecedented situations well. Similar on the surface, the roots and practices of AE and RP diverge at key junctures and we will focus on RP’s movement toward critically reflective practice. The roots of AE and RP, and how they relate to or diverge from present-day applications matter because in health professions education, as in all education, paradigmatic mixing should be undertaken purposefully. This paper will explore the need for AE and RP, their shared commitments, distinctive histories, pedagogical possibilities both individually and combined, and next steps for maximizing their potential to positively impact the field. We argue that this exploration is urgently needed because both AE and RP hold much promise for improving health care and yet employing them optimally—whether alone or together—requires understanding and intent. We build an interprofessional education case situated in long-term care, throughout the paper, to demonstrate the potential that AE and RP might offer to health professions education individually and combined. This exploration comes just in time. Within the realities of uncertain practice emphasized by the pandemic, practitioners were also called to act in response to complex and urgent social movements. A combined AE and RP approach, with focus on critically reflective practice in particular, would potentially prepare professionals to respond effectively, compassionately, and equitably to future health and social crises and challenges.","Expertise Studies, Expertise, Medical Education. Pedagogy, Practice-as-Research, Professional and Vocational Education",Semantic Scholar,https://link.springer.com/article/10.1007/s10459-022-10178-8 ,10/26/2025,Reflective Practice,Canada,
16,268399451,Students' Proficiency in Computational Thinking Through Constructivist Learning Theory,"Lilis Marina Angraini, Nia Kania, Ferit Gürbüz",International Journal of Mathematics and Mathematics Education,2024,"This study aims to assess students' mathematical computational thinking skills in the Mathematics Education program, focusing on the constructivist learning paradigm. The primary objective of this study is to investigate the impact of the constructivist learning approach on enhancing students' mathematical computational thinking skills. This study is a qualitative descriptive research that investigates students' learning process in the context of acquiring computational understanding and applying computational principles in mathematics education. The study was conducted in the Department of Mathematics Education, focusing on students enrolled in the Algebraic Structure course during the academic year 2023/2024. A total of 34 students were included as the subjects of this investigation. The study's findings offer a valuable understanding of the efficacy of the constructivist learning paradigm in enhancing the mathematical computational thinking abilities of Mathematics Education students. The findings indicated that the students' overall mathematical computational thinking proficiency was satisfactory. Additionally, prior mathematical knowledge was found to have a differentiating effect on students' mathematical computational thinking ability, particularly within the context of constructivism learning theory.","Computational Thinking, Mathematics Education, Algebraic Structures ",Semantic Scholar,https://www.semanticscholar.org/paper/Students'-Proficiency-in-Computational-Thinking-Angraini-Kania/4514759b94e8f43c512ce80559c2278686b8fd15 ,10/27/2026,Constructivist Learning,Indonesia,
17,269418077,Art Education and Generative AI: An Exploratory Study in Constructivist Learning and Visualization Automation for the Classroom,"John V. Pavlik, Orianna M. Pavlik",Creative Education,2024,"Artificial intelligence (AI) presents significant implications for art and art education. This paper focuses on the domain of generative AI, or GAI. GAI is a form of AI that can create content, including visual and other forms of art, or art-like material. The research question we consider is: what are the implications of GAI for art education? Drawing upon constructivist learning theory, this paper asserts that GAI can provide educators an opportunity to engage students actively in the critical analysis of art or art-like material generated via AI through an experience-based approach. An exploratory method is employed to qualitatively examine this thesis. Implications and limitations of the approach are presented regarding the potential utilization of GAI to engage students in participatory art education learning experiences. GAI is conceptualized as a form or proxy for automation of visual art generation.","Generative Artificial Intelligence, Art, Art Education, Curricular Framework",Semantic Scholar,https://www.scirp.org/journal/paperinformation?paperid=132790 ,10/27/2025,Constructivist Learning,United States,
18,272869472,Fostering self‐directed learning in blended learning environments: A constructivist perspective in Higher Education,"O. Adigun, Nhlanhla Mpofu, M. Maphalala",Higher Education Quarterly,2024,"Higher education (HE) is considered to be the apex of all educational endeavours. Therefore, it is expected that student in various institutions of higher learning should be self-motivated for individualized synchronous and asynchronous learning. Lamentably, it seems that such expectation within the HE spaced is yet to be achieved. While stakeholders in HE are in search for an approach to ensure that students have sufficient self-directed learning (SDL) capacities needed for blended learning (BL), this article advance and propose the use of the constructivist framework to foster SDL to ensure that students develop their own understanding of learning, its meaning according to the context, and the ways to acquire it using BL as a mediator. Using the constructivist theory as a theoretical lens, we proposed the use of a three-ring-drag-in approach as a model to fostering SDL among students in various institutions of higher learning. We, therefore encourage the adoption or adaptability of the three-ring-drag-in approach as it promise to address and resolve the concerns and agitation of enthronement of SDL among students within the HE spaces.","Constructivist Learning, Self-directed learning, ",Semantic Scholar,https://onlinelibrary.wiley.com/doi/10.1111/hequ.12572 ,10/27/2025,Constructivist Learning,"Namibia, South Africa",
19,262025525,Harnessing AI to Power Constructivist Learning: An Evolution in Educational Methodologies,"Steven Grubaugh, Greg Levitt, D. Deever",EIKI Journal of Effective Teaching Methods,2023,"This article navigates the confluence of the age-old constructivist philosophy of education and modern Artificial Intelligence (AI) tools as a means of reconceptualizing teaching and learning methods. While constructivism champions active learning derived from personal experiences and prior knowledge, AI’s adaptive capacities seamlessly align with these principles, offering personalized, dynamic, and enriching learning avenues. By leveraging AI platforms such as ChatGPT, BARD, and Microsoft Bing, educators can elevate constructivist pedagogy, fostering enhanced student engagement, self-reflective metacognition, profound conceptual change, and an enriched learning experience. The article further emphasizes the preservation of humanistic values in the integration of AI, ensuring a balanced, ethical, and inclusive educational environment. This exploration sheds light on the transformative potential of inter-twining traditional educational philosophies with technological advancements, paving the way for a more responsive and effective learning paradigm.","constructivism, Artificial Intelligence, teaching and learning methods, conceptual change",Semantic Scholar,https://www.semanticscholar.org/reader/92cbcf2cbb2e1c60164dc3a43864522a41564db3 ,10/27/2025,Constructivist Learning,United States,
20,265027816,Adapting to the Future: ChatGPT as a Means for Supporting Constructivist Learning Environments,"Minkyoung Kim, Lauren Adlof",TechTrends,2023,"ChatGPT, an artificial intelligence (AI) language model, holds significant promise for improving the quality and efficiency of teaching and learning. However, its potential challenges and disruptions in education systems require further investigation for a deeper understanding and mitigation. Given that ChatGPT is already being utilized and complete prohibition is unlikely, it becomes crucial to consider how educators can harness its potential to enhance teaching and learning experiences, assuming successful implementation. This article explores the potential benefits and disruptions within the current education system, and proposes strategies for integrating ChatGPT into educational settings from a constructivist learning perspective. It focuses on four educational system attributes: context, collaboration, conversation, and construction. The article particularly emphasizes the utilization of ChatGPT as a means, rather than an end, to enhance student learning within a constructivist learning environment. This approach aims to address present concerns and challenges effectively.","Digital Education and Educational Technology, eLearning, Instructional Theory, Instructional Psychology, Learning and Instruction, Social Learning",Semantic Scholar,https://link.springer.com/article/10.1007/s11528-023-00899-x ,10/27/2025,Constructivist Learning,United States,
21,259716147,Architecture Studio Pedagogy: Review of Instructional Approaches,"Asif R. Khan, N. L. Thilagam",Social Science Research Network,2023,An exploratory research approach is used for this study. The inquiry based study explores the transitional domain of architecture studio pedagogy and the relevant approaches adopted in consensus over time. Required to address the envisaged built environment needs and adapt to the changing perceptions of global practice of architecture. Furthermore the research explores the recent paradigm shift from physical design studio format to virtual design studio based pedagogy with extensive dependence on virtual platforms as a result of the Covid scenario.,"Critical enquiry based approach, process based approach, design-build approach, digital technologies based approach, virtual design studio",Semantic Scholar,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4494911 ,10/28/2025,Studio Pedagogy,India,
22,252098352,Precedent Study: An Approach to Learning about Design Challenges in Architectural Studio Pedagogy,"Aneela Yaseen, Muhammad Waqas, Arshia Mukhtar",Global Educational Studies Review,2022,"The Application of precedents in the Instruction of Architecture Studio is an essential but frequently miscalculated component of the architecture curriculum. The Architectural Design process is an ever-evolving phenomenon. Concrete examples help to establish this evolution that includes the detailed study of Precedents. It is found that there is a connection between architectural design studio pedagogy and precedent study by thoroughly analyzing previously published literature. Since the precedents serve as the basis for further research, appropriate solutions are sought to increase relevance and performance. Therefore, Precedent-based instruction is the most effective teaching method in an Architectural design studio. This study has identified a few frequent errors when performing precedent studies, i.e., romanticizing decisions in Precedent Studies, neglecting Context, and shallow appreciation without a systematic way. This study offers potential for further research to devise an appropriate tool to conduct an analytical study of precedents to avoid falsification and non-contextual solutions.","Precedent Study, Architecture Studio, Context, Falsification",Semantic Scholar,https://www.gesrjournal.com/article/precedent-study-an-approach-to-learning-about-design-challenges-in-architectural-studio-pedagogy ,10/28/2025,Studio Pedagogy,Pakistan,
23,274190064,Nurturing an architect through transformative pedagogy: design studio teaching experience,"Arta Xhambazi, Vlora Aliu",Archnet-IJAR,2024,"PurposeThis study explores how transformative pedagogy enhances project-based learning in architectural education. It presents a studio case study implementing a process-based approach and a student-led design programme. It promotes creativity, critical thinking and autonomy while advocating for pedagogical adaptation towards dynamic, systemic learning experiences in architecture education.Design/methodology/approachThis study employs a qualitative approach, drawing on a literature review and action research from the authors’ design studio experience. A quantitative component was included in the student feedback survey. The studio practice incorporates real-world market challenges in the Kosovar context into student-driven programmes, structuring the process through a problem-solving approach in a fourth-year design studio.FindingsThe results showed high student satisfaction with the process-based, student-centred approach, improving design initiatives, self-confidence and responsibility. Structured presentations and assessments support iterative improvements and reflection. However, workload management remains a challenge.Research limitations/implicationsThis study’s context-specific nature suggests that future research could benefit from diverse educational settings to assess the generalisability of the proposed approach.Practical implicationsThis research provides practical insights for educators to improve students’ autonomy and critical thinking through student-centred problem-solving approaches, enabling them to take greater responsibility for their design processes.Social implicationsStudent-led programmes help with social responsibility and ethical awareness, aligning education more closely with the complexities of real-world situations.Originality/valueThis study positions transformative pedagogy as a way to tailor educational practices, proposing an additional trajectory shaped by integrating student-led design programmes that echo real-world challenges and emphasise student-centred learning through iterative processes and continuous reflection.",Studio Pedagogy,Semantic Scholar,https://www.emerald.com/arch/article-abstract/doi/10.1108/ARCH-05-2024-0214/1256679/Nurturing-an-architect-through-transformative?redirectedFrom=fulltext ,10/28/2025,Studio Pedagogy,Kosovo,
24,273136423,“Something Has Changed” – observations of contemporary studio learners and implications for pedagogy,"Jody Nyboer, Tara Winters, Riham Faragallah",Arts and Humanities in Higher Education,2024,"The landscape of higher education is currently undergoing extraordinary change. Critical to informing fundamental shifts in how institutions operate and educate is an understanding of today’s learners. In the wake of recent global events, the authors have observed that ‘something has changed’ about their students. They seem to bring different attitudes, expectations, and preparation to the studio classroom. The purpose of this study was to capture university teacher observations toward a deeper understanding of contemporary design and fine arts students and draw conclusions that may be useful for informing pedagogical change. With limited literature available addressing this topic, our research used an online survey to collect anecdotal data from teachers across studio-based disciplines (n = 64), inquiring about the nature of both pre-pandemic and contemporary learners. The findings reveal two major shifts: a perceived decline in engagement and a change in motivation. Considering the findings, the authors suggest that studio teachers re-evaluate their pedagogical approach, and that the broader educational community examines how higher education can maximise opportunities for today’s learners.",Studio Pedagogy,Semantic Scholar,https://journals.sagepub.com/doi/10.1177/14740222241289527 ,10/28/2025,Studio Pedagogy,United States,
